category,name,description,price,calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Garlic Butter & Kids Blue Raspberry Lemon Ice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Garlic Butter & Kids Blue Raspberry Lemon Ice,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Meat Sauce & Bottled Water,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti No Sauce & Chocolate Milk,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Garlic Butter & Kids Original Lemon Ice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Garlic Butter & Kids Original Lemon Ice,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Garlic Butter & Kids Strawberry Lemon Ice,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Meat Sauce & Kids Blue Raspberry Lemon Ice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti No Sauce & Apple Juice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Garlic Butter & Kids Strawberry Lemon Ice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli No Sauce & Kids Soft Drink,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Meat Sauce & Kids Original Lemon Ice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti No Sauce & Bottled Water,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine No Sauce & Kids Soft Drink,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli No Sauce & Milk,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Meat Sauce & Kids Strawberry Lemon Ice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti No Sauce & Kids Blue Raspberry Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine No Sauce & Milk,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli No Sauce & Chocolate Milk,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Garlic Butter & Kids Soft Drink,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti No Sauce & Kids Original Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti No Sauce & Kids Strawberry Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine No Sauce & Chocolate Milk,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine No Sauce & Apple Juice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
