Category,Sub Category,Name,Description,Nutritional value,Allergens
Chicken & More,Hand-Breaded Chicken,3 Piece - Hand-Breaded Chicken Tenders™,"Freshly prepared hand-breaded chicken tenders. Premium, all-white meat chicken, hand dipped in buttermilk, lightly breaded and fried to a golden brown. Served with a choice of honey mustard, buttermilk ranch or sweet & bold BBQ dipping sauces.","{'Serving Size': '128g', 'Calories': '260', 'Calories from Fat': '110', 'Fat': '13g', 'Saturated Fat': '2.5g', 'Trans Fat': '0g', 'Cholesterol': '70mg', 'Sodium': '770mg', 'Carbohydrates': '13g', 'Dietary Fiber': '2g', 'Sugars': '0g', 'Protein': '25g'}","Egg, Milk, Soy, Wheat"
Chicken & More,More Choices,The Bacon Swiss Crispy Chicken Fillet Sandwich ,"A Crispy Chicken Fillet dusted with Southern Spices, topped with Bacon, Swiss Cheese, Lettuce, Tomato, and Mayonnaise on a Premium Bun","{'Serving Size': '322g', 'Calories': '770', 'Calories from Fat': '360', 'Fat': '41g', 'Saturated Fat': '11g', 'Trans Fat': '0.5g', 'Cholesterol': '100mg', 'Sodium': '1980mg', 'Carbohydrates': '58g', 'Dietary Fiber': '3g', 'Sugars': '11g', 'Protein': '42g'}","Egg, Milk, Soy, Wheat"
Chicken & More,More Choices,The Big Chicken Fillet Sandwich,"A Crispy Chicken Fillet dusted with Southern Spices, topped with Lettuce, Tomato, and Mayonnaise on a Premium Bun","{'Serving Size': '288g', 'Calories': '650', 'Calories from Fat': '290', 'Fat': '33g', 'Saturated Fat': '6g', 'Trans Fat': '0g', 'Cholesterol': '70mg', 'Sodium': '1330mg', 'Carbohydrates': '55g', 'Dietary Fiber': '3g', 'Sugars': '9g', 'Protein': '33g'}","Egg, Milk, Soy, Wheat"
Charbroiled Burgers,,Jalapeño Double Cheeseburger,"The Jalapeño Double Cheeseburger features Santa Fe Sauce, Jalapeños, Pepperjack Cheese,  Two Charbroiled Beef Patties, Lettuce and Tomato ​all served on a 4” Plain Bun.","{'Serving Size': '265g', 'Calories': '580', 'Calories from Fat': '350', 'Fat': '39g', 'Saturated Fat': '13g', 'Trans Fat': '1g', 'Cholesterol': '85mg', 'Sodium': '1200mg', 'Carbohydrates': '36g', 'Dietary Fiber': '3g', 'Sugars': '7g', 'Protein': '22g'}","Egg, Wheat"
Charbroiled Burgers,,Double Cheeseburger,"Two charbroiled all-beef patties topped with American cheese, onions, ketchup, mustard, dill pickles on a plain bun.
 ","{'Serving Size': '171g', 'Calories': '390', 'Calories from Fat': '170', 'Fat': '19g', 'Saturated Fat': '8g', 'Trans Fat': '1g', 'Cholesterol': '60mg', 'Sodium': '860mg', 'Carbohydrates': '37g', 'Dietary Fiber': '2g', 'Sugars': '10g', 'Protein': '19g'}",Wheat
Charbroiled Burgers,,Big Hamburger,"Charbroiled All-Beef Patty, Dill Pickles, Onions, Mustard and Ketchup on a sesame seed bun. ","{'Serving Size': '203g', 'Calories': '480', 'Calories from Fat': '160', 'Fat': '18g', 'Saturated Fat': '8g', 'Trans Fat': '0.5g', 'Cholesterol': '50mg', 'Sodium': '870mg', 'Carbohydrates': '56g', 'Dietary Fiber': '3g', 'Sugars': '13g', 'Protein': '25g'}",Wheat
Charbroiled Burgers,,Kid's Hamburger ,"Charbroiled All-Beef Patty, Dill Pickles, Mustard and Ketchup on a Plain Bun.","{'Serving Size': '111g', 'Calories': '270', 'Calories from Fat': '90', 'Fat': '10g', 'Saturated Fat': '3.5g', 'Trans Fat': '0.5g', 'Cholesterol': '25mg', 'Sodium': '540mg', 'Carbohydrates': '33g', 'Dietary Fiber': '1g', 'Sugars': '7g', 'Protein': '11g'}",Wheat
Charbroiled Burgers,,Kid's Cheeseburger,"Charbroiled All-Beef Patty, American Cheese, Dill Pickles, Mustard and Ketchup on a Plain Bun. ","{'Serving Size': '127g', 'Calories': '330', 'Calories from Fat': '140', 'Fat': '15g', 'Saturated Fat': '7g', 'Trans Fat': '0.5g', 'Cholesterol': '40mg', 'Sodium': '810mg', 'Carbohydrates': '34g', 'Dietary Fiber': '1g', 'Sugars': '7g', 'Protein': '14g'}",Wheat
Charbroiled Burgers,,Guacamole Double Cheeseburger,"Two charbroiled all-beef patties, guacamole, Pepperjack cheese, tomato, and shredded lettuce on a plain bun.","{'Serving Size': '204g', 'Calories': '460', 'Calories from Fat': '230', 'Fat': '26g', 'Saturated Fat': '11g', 'Trans Fat': '0g', 'Cholesterol': '70mg', 'Sodium': '830mg', 'Carbohydrates': '34g', 'Dietary Fiber': '2g', 'Sugars': '5g', 'Protein': '21g'}",
Charbroiled Burgers,,The California Classic Double Cheeseburger,"Double meat, double cheese, grilled onions, thousand island, shredded lettuce and tomato on a plain bun.","{'Serving Size': '283g', 'Calories': '600', 'Calories from Fat': '350', 'Fat': '39g', 'Saturated Fat': '14g', 'Trans Fat': '1.5g', 'Cholesterol': '85mg', 'Sodium': '1100mg', 'Carbohydrates': '41g', 'Dietary Fiber': '2g', 'Sugars': '11g', 'Protein': '23g'}","Egg, Soy, Wheat"
Charbroiled Burgers,,The 1/3lb. Lettuce-Wrapped Thickburger®,"A 1/3lb. Charbroiled Black Angus Beef Patty, American Cheese, Two Slices of Tomato, Red Onions, Dill Pickles, Mustard, Mayonnaise and Ketchup Wrapped in Fresh Iceberg Whole-Leaf Lettuce.","{'Serving Size': '252g', 'Calories': '420', 'Calories from Fat': '300', 'Fat': '33g', 'Saturated Fat': '13g', 'Trans Fat': '1.5g', 'Cholesterol': '105mg', 'Sodium': '1060mg', 'Carbohydrates': '87g', 'Dietary Fiber': '2g', 'Sugars': '5g', 'Protein': '25g'}",Egg
Charbroiled Burgers,,The 1/2lb. Lettuce-Wrapped Thickburger®,"A 1/2lb. Charbroiled Black Angus Beef Patty, Two Slices of American Cheese, Two Slices of Tomato, Red Onions, Dill Pickles, Mustard, Mayonnaise and Ketchup Wrapped in Fresh Iceberg Whole-Leaf Lettuce.","{'Serving Size': '319g', 'Calories': '630', 'Calories from Fat': '450', 'Fat': '55g', 'Saturated Fat': '21g', 'Trans Fat': '2.5g', 'Cholesterol': '160mg', 'Sodium': '1630mg', 'Carbohydrates': '9g', 'Dietary Fiber': '1g', 'Sugars': '4g', 'Protein': '39g'}",Egg
Charbroiled Burgers,,The 1/2lb. Guacamole Bacon Thickburger®,"A 1/2lb. Charbroiled Black Angus Beef Patty, Guacamole, Two Strips of Bacon, Two Slices of Melted Pepperjack Cheese, Lettuce, Two Slices of Tomato, Red Onions, and Santa Fe Sauce, served on a premium bun.","{'Serving Size': '445g', 'Calories': '1200', 'Calories from Fat': '500', 'Fat': '89g', 'Saturated Fat': '30g', 'Trans Fat': '3g', 'Cholesterol': '165mg', 'Sodium': '1990mg', 'Carbohydrates': '51g', 'Dietary Fiber': '4g', 'Sugars': '12g', 'Protein': '46g'}","Egg, Milk, Soy, Wheat"
