Fazoli's  13201 Ranch Road 620 N Suite S  Austin  TX 78717
Timing: 3:00PM - 9:30PM

Name,ID,Category,Description,Price,Calories,Suggested Item
Pasta Your Way=>Whole Grain Rotini (260 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Roasted Chicken,104413270.0,Sides and Extras,,1.5,,"['Chocolate Chunk Cookie', 'Italian Sausage', 'Chocolate Chunk Brownie']"
Side of Sauce (2oz)=>Alfredo,104413263.0,Sides and Extras,,0.5,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Side of Sauce (2oz)=>Garlic Butter,104413263.0,Sides and Extras,,0.5,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Side of Sauce (2oz)=>Marinara,104413263.0,Sides and Extras,,0.5,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Side of Sauce (2oz)=>Meat,104413263.0,Sides and Extras,,0.5,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Soft Drinks=>Barq's Rootbeer,104413290.0,Drinks and Italian Ice,,2.19,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Soft Drinks=>Coca Cola,104413290.0,Drinks and Italian Ice,,2.19,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Soft Drinks=>Diet Coke,104413290.0,Drinks and Italian Ice,,2.19,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Soft Drinks=>Dr. Pepper,104413290.0,Drinks and Italian Ice,,2.19,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
