Values_mod,Item_mod,Item,Attribute,Values,Attribute_mod,Values_mod
ham,pizza,pizzas,Meat(Non veg) Toppings,"Italian Sausage, Premium Chicken, Bacon, Philly Steak, Pepperoni, Salami, Beef and Ham",meat,ham
shredded provolone cheese,pizza,pizzas,Cheese Topping,"Shredded Provolone Cheese, Cheddar Cheese, Feta Cheese and Shredded Parmesan Asiago",cheese,shredded provolone cheese
cheddar cheese,pizza,pizzas,Cheese Topping,"Shredded Provolone Cheese, Cheddar Cheese, Feta Cheese and Shredded Parmesan Asiago",cheese,cheddar cheese
feta cheese,pizza,pizzas,Cheese Topping,"Shredded Provolone Cheese, Cheddar Cheese, Feta Cheese and Shredded Parmesan Asiago",cheese,feta cheese
shredded parmesan asiago,pizza,pizzas,Cheese Topping,"Shredded Provolone Cheese, Cheddar Cheese, Feta Cheese and Shredded Parmesan Asiago",cheese,shredded parmesan asiago
light,pizza,pizzas,Topping Quantity,"Light, Normal, Extra and Double",top,light
normal,pizza,pizzas,Topping Quantity,"Light, Normal, Extra and Double",top,normal
extra,pizza,pizzas,Topping Quantity,"Light, Normal, Extra and Double",top,extra
double,pizza,pizzas,Topping Quantity,"Light, Normal, Extra and Double",top,double
robust inspired tomato sauce,pizza,pizzas,Sauce,"Robust Inspired Tomato Sauce, 
Hearty Marinara Sauce, BBQ Sauce, Garlic Parmesan White Sauce and Alfredo Sauce",sauce,robust inspired tomato sauce
"
hearty marinara sauce",pizza,pizzas,Sauce,"Robust Inspired Tomato Sauce, 
Hearty Marinara Sauce, BBQ Sauce, Garlic Parmesan White Sauce and Alfredo Sauce",sauce,"
hearty marinara sauce"
bbq sauce,pizza,pizzas,Sauce,"Robust Inspired Tomato Sauce, 
Hearty Marinara Sauce, BBQ Sauce, Garlic Parmesan White Sauce and Alfredo Sauce",sauce,bbq sauce
garlic parmesan white sauce,pizza,pizzas,Sauce,"Robust Inspired Tomato Sauce, 
Hearty Marinara Sauce, BBQ Sauce, Garlic Parmesan White Sauce and Alfredo Sauce",sauce,garlic parmesan white sauce
alfredo sauce,pizza,pizzas,Sauce,"Robust Inspired Tomato Sauce, 
Hearty Marinara Sauce, BBQ Sauce, Garlic Parmesan White Sauce and Alfredo Sauce",sauce,alfredo sauce
light,pizza,pizzas,Sauce Quantity,"Light, Normal and Extra",sauce,light
normal,pizza,pizzas,Sauce Quantity,"Light, Normal and Extra",sauce,normal
extra,pizza,pizzas,Sauce Quantity,"Light, Normal and Extra",sauce,extra
light,pizza,pizzas,Cheese(base),"Light, Normal and Extra",cheese,light
normal,pizza,pizzas,Cheese(base),"Light, Normal and Extra",cheese,normal
extra,pizza,pizzas,Cheese(base),"Light, Normal and Extra",cheese,extra
cheesecake,dessert,desserts,Type,"Cheesecake, brownie, ice cream, cookie, bread twists, Muffin, Pastry",type,cheesecake
brownie,dessert,desserts,Type,"Cheesecake, brownie, ice cream, cookie, bread twists, Muffin, Pastry",type,brownie
ice cream,dessert,desserts,Type,"Cheesecake, brownie, ice cream, cookie, bread twists, Muffin, Pastry",type,ice cream
cookie,dessert,desserts,Type,"Cheesecake, brownie, ice cream, cookie, bread twists, Muffin, Pastry",type,cookie
bread twists,dessert,desserts,Type,"Cheesecake, brownie, ice cream, cookie, bread twists, Muffin, Pastry",type,bread twists
muffin,dessert,desserts,Type,"Cheesecake, brownie, ice cream, cookie, bread twists, Muffin, Pastry",type,muffin
pastry,dessert,desserts,Type,"Cheesecake, brownie, ice cream, cookie, bread twists, Muffin, Pastry",type,pastry
chocolate,dessert,desserts,Flavour,"Chocolate, Strawberry, Butterscotch, Vanilla, Caramel, Cinnamon etc.",Flavour,chocolate
strawberry,dessert,desserts,Flavour,"Chocolate, Strawberry, Butterscotch, Vanilla, Caramel, Cinnamon etc.",Flavour,strawberry
butterscotch,dessert,desserts,Flavour,"Chocolate, Strawberry, Butterscotch, Vanilla, Caramel, Cinnamon etc.",Flavour,butterscotch
vanilla,dessert,desserts,Flavour,"Chocolate, Strawberry, Butterscotch, Vanilla, Caramel, Cinnamon etc.",Flavour,vanilla
caramel,dessert,desserts,Flavour,"Chocolate, Strawberry, Butterscotch, Vanilla, Caramel, Cinnamon etc.",Flavour,caramel
cinnamon etc,dessert,desserts,Flavour,"Chocolate, Strawberry, Butterscotch, Vanilla, Caramel, Cinnamon etc.",Flavour,cinnamon etc
,dessert,desserts,Flavour,"Chocolate, Strawberry, Butterscotch, Vanilla, Caramel, Cinnamon etc.",Flavour,
chocolate chips,dessert,desserts,Toppings,"Chocolate chips, Chocolate chunk,",Toppings,chocolate chips
chocolate chunk,dessert,desserts,Toppings,"Chocolate chips, Chocolate chunk,",Toppings,chocolate chunk
,dessert,desserts,Toppings,"Chocolate chips, Chocolate chunk,",Toppings,
hot chocolate sauce,dessert,desserts,Sauce,Hot chocolate sauce,sauce,hot chocolate sauce
icing dipping sauce,dessert,desserts,sides/Dip,Icing Dipping Sauce,side,icing dipping sauce
ghirardelli chocolate,dessert,desserts,Chocolate type,Ghirardelli Chocolate.,chocolate,ghirardelli chocolate
,dessert,desserts,Chocolate type,Ghirardelli Chocolate.,chocolate,
hard,drink,drinks,Type,"Hard, Soft",type,hard
soft,drink,drinks,Type,"Hard, Soft",type,soft
chocolate,drink,drinks,Flavour,"Chocolate, Lemon, Fizzy",Flavour,chocolate
lemon,drink,drinks,Flavour,"Chocolate, Lemon, Fizzy",Flavour,lemon
fizzy,drink,drinks,Flavour,"Chocolate, Lemon, Fizzy",Flavour,fizzy
cold,drink,drinks,Serving Temp,"Cold, hot, Chilled",serve,cold
hot,drink,drinks,Serving Temp,"Cold, hot, Chilled",serve,hot
chilled,drink,drinks,Serving Temp,"Cold, hot, Chilled",serve,chilled
white,drink,drinks,Color,"White, Yellow, black",Color,white
yellow,drink,drinks,Color,"White, Yellow, black",Color,yellow
black,drink,drinks,Color,"White, Yellow, black",Color,black
honey wheat bread,sandwich,sandwich,Bread,Honey wheat bread,bread,honey wheat bread
cheddar cheese,sandwich,sandwich,Cheese,Cheddar cheese,cheese,cheddar cheese
tomato,sandwich,sandwich,Toppings,"Tomato, Red onion, Leaf lettuce, Pepper bacon, Roast turkey",Toppings,tomato
red onion,sandwich,sandwich,Toppings,"Tomato, Red onion, Leaf lettuce, Pepper bacon, Roast turkey",Toppings,red onion
leaf lettuce,sandwich,sandwich,Toppings,"Tomato, Red onion, Leaf lettuce, Pepper bacon, Roast turkey",Toppings,leaf lettuce
pepper bacon,sandwich,sandwich,Toppings,"Tomato, Red onion, Leaf lettuce, Pepper bacon, Roast turkey",Toppings,pepper bacon
roast turkey,sandwich,sandwich,Toppings,"Tomato, Red onion, Leaf lettuce, Pepper bacon, Roast turkey",Toppings,roast turkey
,sandwich,sandwich,Sauce,,sauce,
parmesan peppercorn ranch,sandwich,sandwich,Dressing,Parmesan Peppercorn ranch,dressing,parmesan peppercorn ranch
mini bun,burger,burgers,Bread,Mini Bun,bread,mini bun
chicken tender,burger,burgers,Topping,Chicken tender,top,chicken tender
parmesan peppercorn ranch sauce,burger,burgers,Dressing,Parmesan peppercorn ranch sauce,dressing,parmesan peppercorn ranch sauce
,burger,burgers,Cheese,,cheese,
spicy buffalo sauce,burger,burgers,Sauce,Spicy buffalo sauce,sauce,spicy buffalo sauce
grain wrap,wrap,wraps,Bread,Grain wrap,bread,grain wrap
pepper bacon,wrap,wraps,Toppings,"Pepper bacon, Roast Turkey, Tomato, Red Onion, Leaf Lettuce",Toppings,pepper bacon
roast turkey,wrap,wraps,Toppings,"Pepper bacon, Roast Turkey, Tomato, Red Onion, Leaf Lettuce",Toppings,roast turkey
tomato,wrap,wraps,Toppings,"Pepper bacon, Roast Turkey, Tomato, Red Onion, Leaf Lettuce",Toppings,tomato
red onion,wrap,wraps,Toppings,"Pepper bacon, Roast Turkey, Tomato, Red Onion, Leaf Lettuce",Toppings,red onion
leaf lettuce,wrap,wraps,Toppings,"Pepper bacon, Roast Turkey, Tomato, Red Onion, Leaf Lettuce",Toppings,leaf lettuce
cheddar cheese,wrap,wraps,Cheese,Cheddar Cheese,cheese,cheddar cheese
parmesan peppercorn ranch sauce,wrap,wraps,Dressing,Parmesan peppercorn ranch sauce,dressing,parmesan peppercorn ranch sauce
,wrap,wraps,Sauce,,sauce,
