address,city,state,postal,url
4800 SE 14th Street,Des Moines,Iowa,50320,https://order.fazolis.com/menu/SE-14th-St-IA
3134 Dial Drive,Council Bluffs,Iowa,51503,https://order.fazolis.com/menu/Council-Bluffs-IA
930 1st Street,Ankeny,Iowa,50021,https://order.fazolis.com/menu/Ankeny-IA
2435 Grand Avenue,Ames,Iowa,50010,https://order.fazolis.com/menu/Ames-IA
3553 N. Rock Road,Wichita,Kansas,67226,https://order.fazolis.com/menu/Rock-Rd-KS
8520 West Central Avenue,Wichita,Kansas,67212,https://order.fazolis.com/menu/W-Central-Wich-KS
6345 Quivira Road,Shawnee,Kansas,66216,https://order.fazolis.com/menu/Shawnee-KS
12045 Metcalf Avenue,Overland Park,Kansas,66209,https://order.fazolis.com/menu/OverlandPark-KS
13516 S. Alden Street,Olathe,Kansas,66062,https://order.fazolis.com/menu/Olathe-KS
16 Carol Road,Winchester,Kentucky,40391,https://order.fazolis.com/menu/Winchester-KY
3209 South US 27,Somerset,Kentucky,42501,https://order.fazolis.com/menu/Somerset-KY
210 Paroquet Springs Dr.,Shepherdsville,Kentucky,40165,https://order.fazolis.com/menu/Shepherdsville-KY
441 Leighway Dr.,Richmond,Kentucky,40475,https://order.fazolis.com/menu/Richmond-KY
337 North Mayo Trail US 23,Paintsville,Kentucky,41240,https://order.fazolis.com/menu/Paintsville-KY
2935 New Holt Road,Paducah,Kentucky,42001,https://order.fazolis.com/menu/Paducah-KY
5060 Frederica Street,Owensboro,Kentucky,42301,https://order.fazolis.com/menu/Owensboro-KY
1016 N. Main Street,Nicholasville,Kentucky,40356,https://order.fazolis.com/menu/Nicholasville-KY
507 Rushing Way,Murray,Kentucky,42071,https://order.fazolis.com/menu/Murray-KY
180 Newtowne Square,Morehead,Kentucky,40351,https://order.fazolis.com/menu/Morehead-KY
416 Market Square Drive,Maysville,Kentucky,41056,https://order.fazolis.com/menu/Maysville-KY
132 Ruby Dr,Madisonville,Kentucky,42431,https://order.fazolis.com/menu/Madisonville-KY
10307 Dixie Highway,Louisville,Kentucky,40272,https://order.fazolis.com/menu/Louisville-KY
11806 Standiford Plaza Drive,Louisville,Kentucky,40229,https://order.fazolis.com/menu/Standiford-KY
2174 W. Highway 192,London,Kentucky,40741,https://order.fazolis.com/menu/London-KY
1840 Alysheba Way,Lexington,Kentucky,40509,https://order.fazolis.com/menu/Hamburg-KY
192 Garden Mile Road,Henderson,Kentucky,42420,https://order.fazolis.com/menu/Henderson-KY
47 Commodore Street,Hazard,Kentucky,41701,https://order.fazolis.com/menu/Hazard-KY
6011 Preston Highway,Louisville,Kentucky,40219,https://order.fazolis.com/menu/Louisville-KY
9433 Viking Center Drive,Louisville,Kentucky,40222,https://order.fazolis.com/menu/Whittington-KY
124 Darby Drive,Georgetown,Kentucky,40324,https://order.fazolis.com/menu/Georgetown-KY
365 Leonardwood Drive,Frankfort,Kentucky,40601,https://order.fazolis.com/menu/Frankfort-KY
2195A Richmond Road,Lexington,Kentucky,40502,https://order.fazolis.com/menu/Richmond-Rd-KY
2200 Nicholasville Road,Lexington,Kentucky,40503,https://order.fazolis.com/menu/Zandale-KY
5990 Fuller Street,Florence,Kentucky,41042,https://order.fazolis.com/menu/Florence-KY
1702 N. Dixie Avenue,Elizabethtown,Kentucky,42701,https://order.fazolis.com/menu/Elizabethtown-KY
"1560 Hustonville Rd, #397",Danville,Kentucky,40422,https://order.fazolis.com/menu/Danville-KY
2915 Scottsville Road,Bowling Green,Kentucky,42104,https://order.fazolis.com/menu/Bowling-Green-KY
3775 Harrodsburg Road,Lexington,Kentucky,40513,https://order.fazolis.com/menu/Palomar-KY
4204 Saron Drive,Lexington,Kentucky,40515,https://order.fazolis.com/menu/Tates-Creek-KY
3796 East John Rowan Boulevard,Bardstown,Kentucky,40004,https://order.fazolis.com/menu/Bardstown-KY
499 Winchester Avenue,Ashland,Kentucky,41101,https://order.fazolis.com/menu/Ashland-KY
2521 Alpine Ave,Walker,Michigan,49544,https://order.fazolis.com/menu/Walker-MI
1780 E Sherman Blvd,Muskegon,Michigan,49444,https://order.fazolis.com/menu/Muskegon-MI
1255 N Dixie Hwy,Monroe,Michigan,48162,https://order.fazolis.com/menu/Monroe-MI-TA
5705 South Cedar Street,Lansing,Michigan,48911,https://order.fazolis.com/menu/Lansing-MI
4615 Main Street,Kalamazoo,Michigan,49006,https://orders.fazolis.com/index.cfm?fuseaction=order&action=preorder&isToGo=1&store_code=5216
570 Baldwin,Jenison,Michigan,49428,https://order.fazolis.com/menu/Jenison-MI
1500 N. West Avenue,Jackson,Michigan,49202,https://order.fazolis.com/menu/Jackson-MI
5445 Beckley Road,Battle Creek,Michigan,49015,https://order.fazolis.com/menu/Battle-Creek-MI
5 South Kingshighway,Cape Girardeau,Missouri,63703,https://order.fazolis.com/menu/Cape-Girardeau-MO
12341 St. Charles Rock Rd,Bridgeton,Missouri,63044,https://order.fazolis.com/menu/Bridgeton-MO
810 US Highway 40 West,Blue Springs,Missouri,64015,https://order.fazolis.com/menu/Blue-Springs-MO
620 E. Markey Parkway,Belton,Missouri,64012,https://order.fazolis.com/menu/Belton-MO
123 Arnold Crossroads Center,Arnold,Missouri,63010,https://order.fazolis.com/menu/Arnold-MO
